nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1697528140,1697528226.608144,groupby,G1_1e8_1e2_0_0,100000000,sum v1 mean v3 by id3,1000000,3,juliads,0.7.18,,combine,1,3.748,5.283,TRUE,299991302.000;50001192.355,0.099,,FALSE
ip-172-31-31-147,1697528140,1697528230.642776,groupby,G1_1e8_1e2_0_0,100000000,sum v1 mean v3 by id3,1000000,3,juliads,0.7.18,,combine,2,3.815,5.266,TRUE,299991302.000;50001192.355,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528232.334219,groupby,G1_1e8_1e2_0_0,100000000,mean v1:v3 by id4,100,4,juliads,0.7.18,,combine,1,1.014,5.266,TRUE,299.991;799.978;5000.104,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528233.456791,groupby,G1_1e8_1e2_0_0,100000000,mean v1:v3 by id4,100,4,juliads,0.7.18,,combine,2,0.877,5.266,TRUE,299.991;799.978;5000.104,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528235.959663,groupby,G1_1e8_1e2_0_0,100000000,sum v1:v3 by id6,1000000,4,juliads,0.7.18,,combine,1,2.197,6.613,TRUE,299991302.000;799978221.000;5000103937.772,0.01,,FALSE
ip-172-31-31-147,1697528140,1697528238.040920,groupby,G1_1e8_1e2_0_0,100000000,sum v1:v3 by id6,1000000,4,juliads,0.7.18,,combine,2,1.808,7.138,TRUE,299991302.000;799978221.000;5000103937.772,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528242.708196,groupby,G1_1e8_1e2_0_0,100000000,median v3 sd v3 by id4 id5,10000,4,juliads,0.7.18,,combine,1,4.289,7.772,TRUE,500019.998;288668.357,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528245.287239,groupby,G1_1e8_1e2_0_0,100000000,median v3 sd v3 by id4 id5,10000,4,juliads,0.7.18,,combine,2,2.322,7.772,TRUE,500019.998;288668.357,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528250.814071,groupby,G1_1e8_1e2_0_0,100000000,max v1 - min v2 by id3,1000000,2,juliads,0.7.18,,combine,1,5.073,6.9,TRUE,3998729.000,0.179,,FALSE
ip-172-31-31-147,1697528140,1697528252.741921,groupby,G1_1e8_1e2_0_0,100000000,max v1 - min v2 by id3,1000000,2,juliads,0.7.18,,combine,2,1.647,6.004,TRUE,3998729.000,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528255.352220,groupby,G1_1e8_1e2_0_0,100000000,largest two v3 by id6,2000000,2,juliads,0.7.18,,combine,1,2.323,6.958,TRUE,196996660.391,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528257.226353,groupby,G1_1e8_1e2_0_0,100000000,largest two v3 by id6,2000000,2,juliads,0.7.18,,combine,2,1.612,6.949,TRUE,196996660.391,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528260.272067,groupby,G1_1e8_1e2_0_0,100000000,regression v1 v2 by id2 id4,10000,3,juliads,0.7.18,,combine,1,2.794,7.84,TRUE,1.007,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528262.380436,groupby,G1_1e8_1e2_0_0,100000000,regression v1 v2 by id2 id4,10000,3,juliads,0.7.18,,combine,2,1.884,7.804,TRUE,1.007,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528271.047352,groupby,G1_1e8_1e2_0_0,100000000,sum v3 count by id1:id6,100000000,8,juliads,0.7.18,,combine,1,8.281,10.405,TRUE,5000103937.772;100000000.000,0.036,,FALSE
ip-172-31-31-147,1697528140,1697528279.155628,groupby,G1_1e8_1e2_0_0,100000000,sum v3 count by id1:id6,100000000,8,juliads,0.7.18,,combine,2,7.77,10.5,TRUE,5000103937.772;100000000.000,0.021,,FALSE
ip-172-31-31-147,1697528140,1697528306.748291,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.869,1.924,TRUE,29998789.000,0.009,,FALSE
ip-172-31-31-147,1697528140,1697528307.065425,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.016,1.98,TRUE,29998789.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528308.104379,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.354,2.022,TRUE,29998789.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528308.182787,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.017,2.003,TRUE,29998789.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528308.980188,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.737,2.017,TRUE,29998789.000;4999719.622,0.008,,FALSE
ip-172-31-31-147,1697528140,1697528309.076445,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.042,2.093,TRUE,29998789.000;4999719.622,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528309.983618,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.485,2.187,TRUE,299.988;799.894;4999.767,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528310.058116,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.022,2.116,TRUE,299.988;799.894;4999.767,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528310.232196,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.077,2.12,TRUE,29998789.000;79989360.000;499976651.408,0.009,,FALSE
ip-172-31-31-147,1697528140,1697528310.297602,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.026,2.194,TRUE,29998789.000;79989360.000;499976651.408,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528311.686488,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,1.341,2.702,TRUE,499920.140;288648.108,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528311.906620,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.148,2.626,TRUE,499920.140;288648.108,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528312.582457,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.6,2.657,TRUE,399882.000,0.021,,FALSE
ip-172-31-31-147,1697528140,1697528312.767472,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.129,2.628,TRUE,399882.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528313.837110,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,1.022,3.334,TRUE,19700450.588,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528314.310857,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.416,3.813,TRUE,19700450.588,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528315.209853,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.827,3.879,TRUE,9.839,0.011,,FALSE
ip-172-31-31-147,1697528140,1697528315.413170,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.109,3.2,TRUE,9.839,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528316.925135,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,1.415,3.412,TRUE,499976651.408;10000000.000,0.027,,FALSE
ip-172-31-31-147,1697528140,1697528317.641513,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.655,3.389,TRUE,499976651.408;10000000.000,0.011,,FALSE
ip-172-31-31-147,1697528140,1697528407.635732,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1,100,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,1.404,15.7,TRUE,299991302.000,0.009,,FALSE
ip-172-31-31-147,1697528140,1697528408.076992,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1,100,2,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.155,16.474,TRUE,299991302.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528409.232112,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1:id2,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.472,17.259,TRUE,299991302.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528409.442638,groupby,G1_1e8_1e2_0_0,100000000,sum v1 by id1:id2,10000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.161,17.946,TRUE,299991302.000,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528411.210276,groupby,G1_1e8_1e2_0_0,100000000,sum v1 mean v3 by id3,1000000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,1.687,18.016,TRUE,299991302.000;50001192.355,0.009,,FALSE
ip-172-31-31-147,1697528140,1697528412.325218,groupby,G1_1e8_1e2_0_0,100000000,sum v1 mean v3 by id3,1000000,3,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,1.07,18.816,TRUE,299991302.000;50001192.355,0.001,,FALSE
ip-172-31-31-147,1697528140,1697528413.609094,groupby,G1_1e8_1e2_0_0,100000000,mean v1:v3 by id4,100,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,1,0.854,19.572,TRUE,299.991;799.978;5000.104,0.0,,FALSE
ip-172-31-31-147,1697528140,1697528413.937275,groupby,G1_1e8_1e2_0_0,100000000,mean v1:v3 by id4,100,4,juliadf,1.6.1,04c738083f29f86e62c8afc341f0967d8717bdb8,by,2,0.27,20.317,TRUE,299.991;799.978;5000.104,0.0,,FALSE
